"ParticipantName","SegmentName","FixationPointX","FixationPointY","GazeStart","GazeEnd","hoge","piyo","ItemNo","Condition","AOI1","AOI2","AOI3","AOI4","AOI"
"P05","Segment 1",839,446,88,188,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",927,449,215,368,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",589,340,425,575,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",417,256,615,801,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",424,181,831,1048,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",378,165,1074,1241,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",327,640,1301,1431,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",284,711,1461,1771,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",1230,399,1851,2018,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1266,281,2051,2328,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1220,249,2354,2488,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1342,642,2544,2868,"1","3","6","d","A","D","C","B",4
"P05","Segment 1",510,425,2944,3071,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",919,509,3267,3327,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",891,437,3354,3527,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",1330,559,3581,3744,"1","3","6","d","A","D","C","B",4
"P05","Segment 1",535,336,3817,3947,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",401,213,3984,4137,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",381,146,4171,4611,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",488,379,4651,4801,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",1360,724,4877,5141,"1","3","6","d","A","D","C","B",4
"P05","Segment 1",1356,625,5174,5417,"1","3","6","d","A","D","C","B",4
"P05","Segment 1",1272,409,5697,5757,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1213,300,5790,6100,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",438,222,6170,6387,"1","3","6","d","A","D","C","B",1
"P05","Segment 1",346,719,6440,6744,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",258,734,6770,7040,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",1147,439,7117,7250,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",334,789,7487,7734,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",281,739,7760,7874,"1","3","6","d","A","D","C","B",3
"P05","Segment 1",1234,338,7950,8127,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1237,217,8157,8423,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1376,536,8473,8750,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1273,346,8797,9250,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1229,246,9283,9900,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1397,312,9937,10130,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",1235,245,10163,10296,"1","3","6","d","A","D","C","B",2
"P05","Segment 1",432,200,10373,10443,"1","3","6","d","A","D","C","B",1
"P05","Segment 10",1338,306,443,566,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",1338,305,723,886,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",320,699,1489,1642,"1","26","23","c","D","C","A","B",3
"P05","Segment 10",505,277,1869,1999,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",365,199,2042,2219,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",406,176,2239,2362,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",1250,262,2462,2682,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",352,760,3279,3585,"1","26","23","c","D","C","A","B",3
"P05","Segment 10",1351,361,3962,4182,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",1197,283,4255,4429,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",671,685,4569,4682,"1","26","23","c","D","C","A","B",3
"P05","Segment 10",606,687,4715,4785,"1","26","23","c","D","C","A","B",3
"P05","Segment 10",1256,247,5645,5792,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",489,256,5862,6162,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",1348,285,6235,6545,"1","26","23","c","D","C","A","B",2
"P05","Segment 10",959,283,6608,6722,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",512,344,6778,6915,"1","26","23","c","D","C","A","B",1
"P05","Segment 10",387,772,6968,7088,"1","26","23","c","D","C","A","B",3
"P05","Segment 10",618,392,7145,7987,"1","26","23","c","D","C","A","B",1
"P05","Segment 11",949,505,0,30,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",777,493,76,356,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",626,386,406,546,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",1320,369,629,810,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1355,913,883,979,"1","29","13","a","B","C","D","A",4
"P05","Segment 11",383,867,1339,1419,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",302,901,1446,1623,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",277,908,1643,1866,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",281,884,1879,1989,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",1223,435,2076,2196,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1291,371,2229,2523,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1414,853,2586,3076,"1","29","13","a","B","C","D","A",4
"P05","Segment 11",440,405,3169,3322,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",344,337,3352,3809,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",608,370,3852,3972,"1","29","13","a","B","C","D","A",1
"P05","Segment 11",1361,787,4069,4212,"1","29","13","a","B","C","D","A",4
"P05","Segment 11",1312,718,4686,4766,"1","29","13","a","B","C","D","A",4
"P05","Segment 11",1276,435,4816,4982,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1289,372,5009,5602,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1503,333,5642,5835,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1281,345,5872,6022,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",396,871,6132,6259,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",303,879,6285,6405,"1","29","13","a","B","C","D","A",3
"P05","Segment 11",1345,368,6499,6785,"1","29","13","a","B","C","D","A",2
"P05","Segment 11",1279,355,6812,8274,"1","29","13","a","B","C","D","A",2
"P05","Segment 12",969,475,0,37,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",947,498,53,387,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",1300,404,453,907,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",455,864,1403,1513,"1","34","12","b","C","B","A","D",3
"P05","Segment 12",344,949,1543,1710,"1","34","12","b","C","B","A","D",3
"P05","Segment 12",367,425,1800,1860,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",341,300,1893,2246,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",1211,390,2340,2723,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",1353,746,2796,2950,"1","34","12","b","C","B","A","D",4
"P05","Segment 12",1236,560,2993,3173,"1","34","12","b","C","B","A","D",4
"P05","Segment 12",386,843,3260,3410,"1","34","12","b","C","B","A","D",3
"P05","Segment 12",320,890,3440,3503,"1","34","12","b","C","B","A","D",3
"P05","Segment 12",1305,428,3586,4343,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",1373,390,4373,4783,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",516,435,5506,5703,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",373,371,5746,6059,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",552,372,6089,6409,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",1341,853,6509,6726,"1","34","12","b","C","B","A","D",4
"P05","Segment 12",1309,537,6772,6889,"1","34","12","b","C","B","A","D",2
"P05","Segment 12",659,398,6959,7149,"1","34","12","b","C","B","A","D",1
"P05","Segment 12",464,404,7182,7452,"1","34","12","b","C","B","A","D",1
